discord,ghz_witness,n_qubits,steering,theta,three_tangle,type,w_witness
0.41948254603086954,-0.32200000000000006,4,0.646,45,0.4740000000000001,chimera,0.152
0.9995123141215677,-0.5,4,1.0,0,0.75,chimera,0.25
0.6983036193854211,-0.43199999999999994,4,0.864,30,0.6429999999999999,chimera,0.211
0.9993506898146104,-0.5,4,1.0,0,0.75,chimera,0.25
0.4107953232627293,-0.32800000000000007,4,0.668,45,0.5,chimera,0.172
0.609604773630622,-0.41200000000000003,4,0.828,30,0.615,chimera,0.203
0.9999971146079947,-0.5,4,1.0,0,0.75,chimera,0.25
0.5811657495351377,-0.4,4,0.802,30,0.6020000000000001,chimera,0.202
0.4227745586823527,-0.3380000000000001,4,0.688,45,0.516,chimera,0.178
0.21167879836773085,-0.21099999999999997,4,0.454,60,0.32599999999999996,chimera,0.11499999999999999
0.18626774175193495,-0.20799999999999996,4,0.444,60,0.33199999999999996,chimera,0.124
0.006981571706514922,0.11499999999999999,4,0.048,90,0.15099999999999997,chimera,-0.035999999999999976
0.20261295590838158,-0.20199999999999996,4,0.424,60,0.29899999999999993,chimera,0.097
0.007420092422641078,0.10199999999999998,4,0.044,90,0.10499999999999998,chimera,-0.0030000000000000027
0.0019220022930424019,0.056999999999999995,4,0.042,90,0.05199999999999999,chimera,0.0050000000000000044
0.9996508396313203,-0.01100000000000001,6,1.0,0,0.17766666666666667,chimera,0.16666666666666666
0.5990692159361664,0.033999999999999975,6,0.816,30,0.08566666666666668,chimera,0.11966666666666666
0.999858611267083,0.007000000000000006,6,1.0,0,0.15966666666666665,chimera,0.16666666666666666
0.9999538332662392,0.0040000000000000036,6,1.0,0,0.16266666666666665,chimera,0.16666666666666666
0.4138638104269923,0.08000000000000002,6,0.67,45,0.0026666666666666367,chimera,0.08266666666666665
0.7112550798361437,0.010000000000000009,6,0.868,30,0.13166666666666665,chimera,0.14166666666666666
0.6257299259489251,0.04799999999999999,6,0.804,30,0.06666666666666668,chimera,0.11466666666666667
0.4152851901151293,0.08300000000000002,6,0.628,45,0.01433333333333335,chimera,0.06866666666666667
0.19069375224394847,0.14600000000000002,6,0.438,60,0.11333333333333337,chimera,0.03266666666666665
0.3670494357045133,0.09899999999999998,6,0.622,45,0.03433333333333331,chimera,0.06466666666666666
0.18527027141896624,0.14700000000000002,6,0.41,60,0.12233333333333335,chimera,0.02466666666666667
0.195629445248221,0.15300000000000002,6,0.4,60,0.13033333333333338,chimera,0.02266666666666664
0.0005349630033741892,0.298,6,0.012,90,0.3783333333333333,chimera,-0.08033333333333334
0.0020136067877811747,0.28400000000000003,6,0.006,90,0.3623333333333334,chimera,-0.07833333333333334
0.0007666951088534102,0.278,6,0.032,90,0.3473333333333334,chimera,-0.06933333333333336
